Date,Price
07/18/2010,0.1
07/25/2010,0.1
08/01/2010,0.1
08/08/2010,0.1
08/15/2010,0.1
08/22/2010,0.1
08/29/2010,0.1
09/05/2010,0.1
09/12/2010,0.1
09/19/2010,0.1
09/26/2010,0.1
10/03/2010,0.1
10/10/2010,0.1
10/17/2010,0.1
10/24/2010,0.2
10/31/2010,0.4
11/07/2010,0.3
11/14/2010,0.3
11/21/2010,0.3
11/28/2010,0.2
12/05/2010,0.2
12/12/2010,0.2
12/19/2010,0.2
12/26/2010,0.3
01/02/2011,0.3
01/09/2011,0.4
01/16/2011,0.4
01/23/2011,0.4
01/30/2011,0.9
02/06/2011,1.1
02/13/2011,0.9
02/20/2011,1
02/27/2011,0.9
03/06/2011,0.9
03/13/2011,0.8
03/20/2011,0.9
03/27/2011,0.8
04/03/2011,0.7
04/10/2011,1
04/17/2011,1.7
04/24/2011,3.5
05/01/2011,3.6
05/08/2011,7.2
05/15/2011,6.1
05/22/2011,8.3
05/29/2011,18.9
06/05/2011,14.6
06/12/2011,16.9
06/19/2011,17.5
06/26/2011,15.4
07/03/2011,14.4
07/10/2011,13.7
07/17/2011,13.7
07/24/2011,13.5
07/31/2011,6.6
08/07/2011,10.1
08/14/2011,11.4
08/21/2011,8.6
08/28/2011,8.5
09/04/2011,4.8
09/11/2011,4.8
09/18/2011,5.5
09/25/2011,5
10/02/2011,4
10/09/2011,3.8
10/16/2011,3.2
10/23/2011,3.6
10/30/2011,3
11/06/2011,3
11/13/2011,2.2
11/20/2011,2.5
11/27/2011,2.8
12/04/2011,3
12/11/2011,3.2
12/18/2011,3.9
12/25/2011,4.7
01/01/2012,6.8
01/08/2012,6.8
01/15/2012,6.2
01/22/2012,5.6
01/29/2012,5.9
02/05/2012,5.6
02/12/2012,4.2
02/19/2012,4.8
02/26/2012,4.6
03/04/2012,4.8
03/11/2012,5.2
03/18/2012,4.7
03/25/2012,4.9
04/01/2012,4.7
04/08/2012,5
04/15/2012,5.3
04/22/2012,5
04/29/2012,5.1
05/06/2012,4.9
05/13/2012,5.1
05/20/2012,5.1
05/27/2012,5.3
06/03/2012,5.6
06/10/2012,6.4
06/17/2012,6.4
06/24/2012,6.7
07/01/2012,6.8
07/08/2012,7.5
07/15/2012,8.9
07/22/2012,8.9
07/29/2012,11
08/05/2012,11.5
08/12/2012,11.6
08/19/2012,10.5
08/26/2012,10
09/02/2012,11
09/09/2012,11.8
09/16/2012,12.2
09/23/2012,12.4
09/30/2012,12.5
10/07/2012,11.9
10/14/2012,11.7
10/21/2012,10.3
10/28/2012,10.6
11/04/2012,10.9
11/11/2012,11.8
